ID,Adjacent
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-33-34-35-101,25
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-33-34-35-101-104,29
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-33-34-35-101-104,107
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-33-34-35-101-104,26
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-33-34-35-101-104,25
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-33-34-35-101-104-107,29
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-33-34-35-101-104-107,26
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-33-34-35-101-104-107,25
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-33-34-35-101-107,29
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-33-34-35-101-107,104
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-33-34-35-101-107,26
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-33-34-35-101-107,25
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-33-35,101
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-33-35,29
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-33-35,26
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-33-35,25
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-33-35,34
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-33-35-101,29
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-33-35-101,107
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-33-35-101,26
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-33-35-101,25
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-33-35-101,34
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-33-101,28
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-33-101,26
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-33-101,25
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-33-101,34
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-33-101,35
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-33-34-35-101,28
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-33-34-35-101,104
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-33-34-35-101,107
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-33-34-35-101,26
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-33-34-35-101,25
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-33-34-35-101-104-107,28
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-33-34-35-101-104-107,26
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-33-34-35-101-104-107,25
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-33-34-35-101-107,28
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-33-34-35-101-107,104
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-33-34-35-101-107,26
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-33-34-35-101-107,25
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-33-35-101,28
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-33-35-101,107
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-33-35-101,26
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-33-35-101,25
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-33-35-101,34
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-28,24
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-28,25
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-28,23
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-23-24,22
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-23-24,28
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-23-24,101
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-23-24,26
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-23-24,25
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-23-24-101,22
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-23-24-101,28
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-23-24-101,26
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-23-24-101,25
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-23-24-28,22
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-23-24-28,101
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-23-24-28,29
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-23-24-28,26
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-23-24-28,25
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-23-24-28-101,22
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-23-24-28-101,29
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-23-24-28-101,26
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-23-24-28-101,25
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-23-24-28-29,22
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-23-24-28-29,101
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-23-24-28-29,26
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-23-24-28-29,25
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-23-24-28-29-101,22
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-23-24-28-29-101,26
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-23-24-28-29-101,25
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-23-28,24
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-23-28,22
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-23-28,25
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22,21
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22,28
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22,23
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24,21
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24,28
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24,101
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24,33
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-101,21
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-101,28
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-101,33
